epoch,train_loss,train_mae,val_loss,val_mae,val_r2,learning_rate
50,0.0073364488780498505,0.09055349975824356,0.008023463189601898,0.10673090070486069,-1.4344353675842285,0.001
100,0.002656757365912199,0.049216244369745255,0.0032317296136170626,0.06441953778266907,0.019446253776550293,0.001
150,0.0016481688944622874,0.04153147339820862,0.0013441067421808839,0.041967425495386124,0.592178463935852,0.001
200,0.0012800234835594893,0.03684074431657791,0.0009037042618729174,0.033489592373371124,0.7258029580116272,0.001
250,0.0010743100428953767,0.03279885649681091,0.0007854067371226847,0.031630825251340866,0.7616961598396301,0.001
300,0.0008040040265768766,0.029667308554053307,0.0003542951017152518,0.02127525769174099,0.892501711845398,0.001
350,0.0007806745124980807,0.028473878279328346,0.0004001245542895049,0.023204516619443893,0.8785963654518127,0.001
400,0.0006927160429768264,0.028188295662403107,0.00027377918013371527,0.019806351512670517,0.9169313907623291,0.001
450,0.0006316294311545789,0.02524237520992756,0.0003165881207678467,0.020966751500964165,0.9039425849914551,0.001
500,0.0005662312614731491,0.024440448731184006,0.000275757338386029,0.02035576105117798,0.9163312315940857,0.001
550,0.0005983475130051374,0.024029569700360298,0.0002770628489088267,0.02033299021422863,0.9159350991249084,0.001
600,0.000544909096788615,0.023584816604852676,0.00029829831328243017,0.020616160705685616,0.9094919562339783,0.001
650,0.0005092576611787081,0.022813620045781136,0.00023989299370441586,0.018731316551566124,0.9272129535675049,0.001
700,0.0004777023277711123,0.023197442293167114,0.00019482756033539772,0.017406266182661057,0.9408864974975586,0.001
750,0.0004562396788969636,0.022977564483880997,0.00015775460633449256,0.015227203257381916,0.9521349668502808,0.001
800,0.00047010439448058605,0.02216876670718193,0.00023942171537782997,0.018924066796898842,0.927355945110321,0.001
850,0.0005396485794335604,0.022180695086717606,0.0002630133822094649,0.019667502492666245,0.9201979041099548,0.001
900,0.00047819854808039963,0.022068923339247704,0.00019022908236365765,0.016475846990942955,0.9422817230224609,0.001
950,0.0004229254845995456,0.02131902053952217,0.0001869170373538509,0.016262469813227654,0.943286657333374,0.001
1000,0.0004746462218463421,0.021263299509882927,0.00021231237042229623,0.017699282616376877,0.9355813264846802,0.001
1050,0.00046388013288378716,0.021310901269316673,0.0001532663736725226,0.01453626248985529,0.9534967541694641,0.001
1100,0.0004330365627538413,0.020755823701620102,0.00015279307262971997,0.014660200104117393,0.953640341758728,0.001
1150,0.0004679482663050294,0.020828736945986748,0.0001608953607501462,0.014796104282140732,0.9511820077896118,0.001
1200,0.0004256662505213171,0.020387914031744003,0.0001684867311269045,0.014644079841673374,0.9488786458969116,0.001
1250,0.000399804615881294,0.019972581416368484,0.00016389488882850856,0.015048678033053875,0.9502719044685364,0.001
1300,0.00039813100011087954,0.02055956795811653,0.000183261014171876,0.015975331887602806,0.944395899772644,0.001
1350,0.00041851995047181845,0.019964732229709625,0.0001606399309821427,0.014423283748328686,0.9512594938278198,0.001
1400,0.0003850964712910354,0.01949426904320717,0.00015560038445983082,0.014505770057439804,0.9527885913848877,0.001
